    185  ant185      4521.26       -4307.78      -55.0917
    186  ant186      4478.63        4352.09      -18.5264
    187  ant187      6008.45       -1702.5       -27.5041
    188  ant188      5991.39        1761.57        0.5428
    189  ant189     -1529.82        6054.59       62.9282
    190  ant190     -1470.14       -6069.36       10.7064
    191  ant191      1529.82       -6054.59      -23.5342
    192  ant192      1470.14        6069.36       13.4736
    193  ant193      6504.18        -833.97      -29.1889
    194  ant194      6495.65         897.964     -10.5264
    195  ant195     -2529.81        6049.67       83.4736
    196  ant196     -2470.13       -6074.28       24.4834
    197  ant197      2529.81       -6049.66      -34.164
    198  ant198     -3974.37       -5215.69       48.646
    199  ant199      4025.53       -5176.31      -51.565
    200  ant200        34.1043     -6927.94       -7.67507
    201  ant201       -34.1044      6927.94       42.4736
    202  ant202      6016.97       -3434.43      -85.4745
    203  ant203      5521.24       -4302.86      -74.8376
    204  ant204     -1034.09        6923.02       58.5223
    205  ant205      -965.883      -6932.86        2.15882
    206  ant206      1034.09       -6923.02      -17.622
    207  ant207       965.882       6932.86       26.6888
    208  ant208      6999.91          34.4586    -22.7127
    209  ant209      6512.7        -2566         -91.0304
    210  ant210      6487.12        2630           0.46925
    211  ant211     -3470.11       -6079.2        38.2858
    212  ant212      3529.79       -6044.74      -48.8029
    213  ant213     -1965.87       -6937.78       12.9397
    214  ant214      2034.08       -6918.09      -29.7281
    215  ant215      7008.43       -1697.58      -38.213
    216  ant216      6991.38        1766.49       -8.97004
    217  ant217     -4974.36       -5220.62       68.2726
    218  ant218      5025.51       -5171.39      -69.277
    219  ant219     -2965.86       -6942.71       29.3568
    220  ant220      3034.06       -6913.17      -42.8511
    221  ant221      7504.16        -829.047     -33.4258
    222  ant222      7495.64         902.888     -16.0508
    223  ant223     -4470.1        -6084.12       54.1774
    224  ant224      4529.78       -6039.82      -66.1874
    225  ant225      -538.361       7791.44       54.4782
    226  ant226      -461.627      -7796.37       -6.6042
    227  ant227       538.36       -7791.44      -20.2793
    228  ant228      6521.23       -4297.94      -95.5951
    229  ant229      7016.96       -3429.51      -93.0902
    230  ant230     -1461.61       -7801.29        5.5771
    231  ant231      1538.35       -7786.52      -29.5439
    232  ant232      7512.69       -2561.08     -102.569
    233  ant233      6025.5        -5166.47      -87.1898
    234  ant234     -3965.84       -6947.63       45.0012
    235  ant235      4034.05       -6908.25      -53.9812
    236  ant236      7999.89          39.3813    -30.5622
    237  ant237     -2461.6        -7806.21       19.4736
    238  ant238      2538.33       -7781.6       -41.734
    239  ant239      8008.42       -1692.65      -43.735
    240  ant240      7991.37        1771.42      -19.6147
    241  ant241      5529.77       -6034.9       -75.8412
    242  ant242     -3461.59       -7811.13       37.3538
    243  ant243      3538.32       -7776.68      -51.5264
    244  ant244      5034.04       -6903.32      -76.7623
    245  ant245      7521.21       -4293.02     -104.526
    246  ant246        42.6301     -8659.97      -14.6685
    247  ant247      8016.94       -3424.59     -106.495
    248  ant248      7025.48       -5161.54     -101.15
    249  ant249      -957.356      -8664.89       -5.57094
    250  ant250      1042.62       -8655.05      -30.6826
    251  ant251      6529.75       -6029.97      -93.2972
    252  ant252     -1957.34       -8669.82       11.3355
    253  ant253      2042.6        -8650.13      -40.8907
    254  ant254     -4461.57       -7816.06       53.3519
    255  ant255      4538.31       -7771.75      -71.6053
    256  ant256      6034.02       -6898.4       -92.3951
    257  ant257     -2957.33       -8674.74       23.1993
    258  ant258      3042.59       -8645.2       -52.8487
    259  ant259      5538.29       -7766.83      -85.956
    260  ant260      -453.099      -9528.4       -12.0861
    261  ant261       546.887      -9523.48      -26.2783
    262  ant262      8025.47       -5156.62     -106.868
    263  ant263     -3957.32       -8679.66       43.2072
    264  ant264      4042.58       -8640.28      -66.8964
    265  ant265      7529.74       -6025.05     -107.169
    266  ant266     -1453.09       -9533.32        1.80804
    267  ant267      1546.87       -9518.55      -36.483
    268  ant268      7034.01       -6893.48      -98.8117
    269  ant269     -2453.07       -9538.24       17.0111
    270  ant270      2546.86       -9513.63      -50.8424
    271  ant271      5042.56       -8635.36      -78.814
    272  ant272      6538.28       -7761.91      -94.5753
    273  ant273     -3453.06       -9543.17       30.4736
    274  ant274      3546.85       -9508.71      -64.0251
    275  ant275        51.1564    -10391.9       -19.1345
    276  ant276      -948.83      -10396.8        -8.34523
    277  ant277      1051.14      -10387         -34.8049
    278  ant278     -4453.05       -9548.09       43.4736
    279  ant279      4546.83       -9503.79      -75.5613
    280  ant280     -1948.82      -10401.7         7.82752
    281  ant281      2051.13      -10382.1       -50.8232
    282  ant282      8034          -6888.55     -115.334
    283  ant283     -2948.8       -10406.7        21.4736
    284  ant284      3051.12      -10377.1       -60.0127
    285  ant285     -3948.79      -10411.6        33.0667
    286  ant286      -444.574     -11260.3       -13.5264
    287  ant287       555.412     -11255.4       -29.8677
    288  ant288     -1444.56      -11265.3        -2.53632
    289  ant289      1555.4       -11250.5       -40.1635
    290  ant290     -2444.55      -11270.2        13.8511
    291  ant291      2555.39      -11245.6       -49.9219
    292  ant292     -3444.53      -11275.1        22.7387
    293  ant293        59.6822    -12123.9       -19.5264
    294  ant294      -940.304     -12128.9        -6.12615
    295  ant295      1059.67      -12119         -32.889
    296  ant296     -1940.29      -12133.8         8.45073
    297  ant297      -436.048     -12992.4        -7.75585
    298  ant298       563.939     -12987.4       -23.3298
